artwork_id,theme,trait,date,image_url
82410,Emotional States Expressed Through Formal Abstraction,Painterly brushwork,1953/54,"https://www.artic.edu/iiif/2/df0a03a4-be1c-3f8d-73b1-5941dca57bba/full/843,/0/default.jpg"
82410,Emotional States Expressed Through Formal Abstraction,Abstract geometry,1953/54,"https://www.artic.edu/iiif/2/df0a03a4-be1c-3f8d-73b1-5941dca57bba/full/843,/0/default.jpg"
82410,Material Awareness (Painting About Painting),Painterly brushwork,1953/54,"https://www.artic.edu/iiif/2/df0a03a4-be1c-3f8d-73b1-5941dca57bba/full/843,/0/default.jpg"
82410,Material Awareness (Painting About Painting),Abstract geometry,1953/54,"https://www.artic.edu/iiif/2/df0a03a4-be1c-3f8d-73b1-5941dca57bba/full/843,/0/default.jpg"
102581,Tension Between Control and Spontaneity,Painterly brushwork,1952,"https://www.artic.edu/iiif/2/54a90528-63ed-1591-e3eb-2113109fc747/full/843,/0/default.jpg"
102581,Tension Between Control and Spontaneity,Abstract geometry,1952,"https://www.artic.edu/iiif/2/54a90528-63ed-1591-e3eb-2113109fc747/full/843,/0/default.jpg"
102581,Material Awareness (Painting About Painting),Painterly brushwork,1952,"https://www.artic.edu/iiif/2/54a90528-63ed-1591-e3eb-2113109fc747/full/843,/0/default.jpg"
102581,Material Awareness (Painting About Painting),Abstract geometry,1952,"https://www.artic.edu/iiif/2/54a90528-63ed-1591-e3eb-2113109fc747/full/843,/0/default.jpg"
8983,Emotional States Expressed Through Formal Abstraction,Painterly brushwork,"January 18, 1911","https://www.artic.edu/iiif/2/a45e5f55-d02b-ce98-8bab-3af549684f58/full/843,/0/default.jpg"
8983,Emotional States Expressed Through Formal Abstraction,Landscape vista,"January 18, 1911","https://www.artic.edu/iiif/2/a45e5f55-d02b-ce98-8bab-3af549684f58/full/843,/0/default.jpg"
8983,Emotional States Expressed Through Formal Abstraction,Water scenery,"January 18, 1911","https://www.artic.edu/iiif/2/a45e5f55-d02b-ce98-8bab-3af549684f58/full/843,/0/default.jpg"
8983,Emotional States Expressed Through Formal Abstraction,Rural buildings,"January 18, 1911","https://www.artic.edu/iiif/2/a45e5f55-d02b-ce98-8bab-3af549684f58/full/843,/0/default.jpg"
8983,Emotional States Expressed Through Formal Abstraction,Floral bouquet,"January 18, 1911","https://www.artic.edu/iiif/2/a45e5f55-d02b-ce98-8bab-3af549684f58/full/843,/0/default.jpg"
8983,Instability of Perception,Painterly brushwork,"January 18, 1911","https://www.artic.edu/iiif/2/a45e5f55-d02b-ce98-8bab-3af549684f58/full/843,/0/default.jpg"
8983,Instability of Perception,Landscape vista,"January 18, 1911","https://www.artic.edu/iiif/2/a45e5f55-d02b-ce98-8bab-3af549684f58/full/843,/0/default.jpg"
8983,Instability of Perception,Water scenery,"January 18, 1911","https://www.artic.edu/iiif/2/a45e5f55-d02b-ce98-8bab-3af549684f58/full/843,/0/default.jpg"
8983,Instability of Perception,Rural buildings,"January 18, 1911","https://www.artic.edu/iiif/2/a45e5f55-d02b-ce98-8bab-3af549684f58/full/843,/0/default.jpg"
8983,Instability of Perception,Floral bouquet,"January 18, 1911","https://www.artic.edu/iiif/2/a45e5f55-d02b-ce98-8bab-3af549684f58/full/843,/0/default.jpg"
72889,The Subconscious and Dream Logic,Painterly brushwork,summer 1936,"https://www.artic.edu/iiif/2/f2fc8911-5008-d7e5-3399-c32785e7a790/full/843,/0/default.jpg"
72889,The Subconscious and Dream Logic,Abstract geometry,summer 1936,"https://www.artic.edu/iiif/2/f2fc8911-5008-d7e5-3399-c32785e7a790/full/843,/0/default.jpg"
72889,Emotional States Expressed Through Formal Abstraction,Painterly brushwork,summer 1936,"https://www.artic.edu/iiif/2/f2fc8911-5008-d7e5-3399-c32785e7a790/full/843,/0/default.jpg"
72889,Emotional States Expressed Through Formal Abstraction,Abstract geometry,summer 1936,"https://www.artic.edu/iiif/2/f2fc8911-5008-d7e5-3399-c32785e7a790/full/843,/0/default.jpg"
229866,Material Awareness (Painting About Painting),Painterly brushwork,2015,"https://www.artic.edu/iiif/2/8689cd14-1ddb-4d6e-b7fb-f5e0918e9408/full/843,/0/default.jpg"
229866,Material Awareness (Painting About Painting),Text in artwork,2015,"https://www.artic.edu/iiif/2/8689cd14-1ddb-4d6e-b7fb-f5e0918e9408/full/843,/0/default.jpg"
229866,Modernity as Fragmented Experience,Painterly brushwork,2015,"https://www.artic.edu/iiif/2/8689cd14-1ddb-4d6e-b7fb-f5e0918e9408/full/843,/0/default.jpg"
229866,Modernity as Fragmented Experience,Text in artwork,2015,"https://www.artic.edu/iiif/2/8689cd14-1ddb-4d6e-b7fb-f5e0918e9408/full/843,/0/default.jpg"
146986,Tension Between Control and Spontaneity,Painterly brushwork,1944,"https://www.artic.edu/iiif/2/9e26e536-e41b-c7c4-1e0a-1d397cb142cd/full/843,/0/default.jpg"
146986,Tension Between Control and Spontaneity,Muted earth palette,1944,"https://www.artic.edu/iiif/2/9e26e536-e41b-c7c4-1e0a-1d397cb142cd/full/843,/0/default.jpg"
146986,Tension Between Control and Spontaneity,Abstract geometry,1944,"https://www.artic.edu/iiif/2/9e26e536-e41b-c7c4-1e0a-1d397cb142cd/full/843,/0/default.jpg"
146986,Material Awareness (Painting About Painting),Painterly brushwork,1944,"https://www.artic.edu/iiif/2/9e26e536-e41b-c7c4-1e0a-1d397cb142cd/full/843,/0/default.jpg"
146986,Material Awareness (Painting About Painting),Muted earth palette,1944,"https://www.artic.edu/iiif/2/9e26e536-e41b-c7c4-1e0a-1d397cb142cd/full/843,/0/default.jpg"
146986,Material Awareness (Painting About Painting),Abstract geometry,1944,"https://www.artic.edu/iiif/2/9e26e536-e41b-c7c4-1e0a-1d397cb142cd/full/843,/0/default.jpg"
27992,Modernity as Fragmented Experience,Painterly brushwork,"1884–86, border added 1888–89","https://www.artic.edu/iiif/2/2d484387-2509-5e8e-2c43-22f9981972eb/full/843,/0/default.jpg"
27992,Modernity as Fragmented Experience,Muted earth palette,"1884–86, border added 1888–89","https://www.artic.edu/iiif/2/2d484387-2509-5e8e-2c43-22f9981972eb/full/843,/0/default.jpg"
27992,Modernity as Fragmented Experience,Landscape vista,"1884–86, border added 1888–89","https://www.artic.edu/iiif/2/2d484387-2509-5e8e-2c43-22f9981972eb/full/843,/0/default.jpg"
27992,Modernity as Fragmented Experience,Water scenery,"1884–86, border added 1888–89","https://www.artic.edu/iiif/2/2d484387-2509-5e8e-2c43-22f9981972eb/full/843,/0/default.jpg"
27992,Modernity as Fragmented Experience,Animal figure,"1884–86, border added 1888–89","https://www.artic.edu/iiif/2/2d484387-2509-5e8e-2c43-22f9981972eb/full/843,/0/default.jpg"
27992,Instability of Perception,Painterly brushwork,"1884–86, border added 1888–89","https://www.artic.edu/iiif/2/2d484387-2509-5e8e-2c43-22f9981972eb/full/843,/0/default.jpg"
27992,Instability of Perception,Muted earth palette,"1884–86, border added 1888–89","https://www.artic.edu/iiif/2/2d484387-2509-5e8e-2c43-22f9981972eb/full/843,/0/default.jpg"
27992,Instability of Perception,Landscape vista,"1884–86, border added 1888–89","https://www.artic.edu/iiif/2/2d484387-2509-5e8e-2c43-22f9981972eb/full/843,/0/default.jpg"
27992,Instability of Perception,Water scenery,"1884–86, border added 1888–89","https://www.artic.edu/iiif/2/2d484387-2509-5e8e-2c43-22f9981972eb/full/843,/0/default.jpg"
27992,Instability of Perception,Animal figure,"1884–86, border added 1888–89","https://www.artic.edu/iiif/2/2d484387-2509-5e8e-2c43-22f9981972eb/full/843,/0/default.jpg"
111628,Isolation Created Through Spatial Separation,Painterly brushwork,1942,"https://www.artic.edu/iiif/2/831a05de-d3f6-f4fa-a460-23008dd58dda/full/843,/0/default.jpg"
